,,,,,,,,,,,,,,,,,,
Area,SHIPPER,INISIAL SHIPPER,Concat,Jenis Perjanjian,Status Perjanjian,NO. PERJANJIAN (TRANSPORTER),SEGMEN BISNIS,Priority,TGL PERJANJIAN,Start,End,Status,Target KPI (TW),Realisasi (TW),PIC,Attachement,Keterangan,
OCSA,PT PERTAMINA EP,PEP,OCSA PEP ,AMD KB,EXISTING,169/PG0000/2025-S0,TRANSP. MINYAK,,12/23/2025,1/1/2026,6/30/2026,Need Follow Up,,,,,,
OCSA,PT SAMUDRA ENERGY BWPMERUAP,MERUAP,OCSA MERUAP ,AMD KB,EXISTING,167/PG0000/2025-S0,TRANSP. MINYAK,,12/22/2025,1/1/2026,6/30/2026,Need Follow Up,,,,,,
OCSA,PT ODIRA ENERGY KARANG AGUNG,OEKA,OCSA OEKA ,AMD KB,EXISTING,170/PG0000/2025-S0,TRANSP. MINYAK,,12/23/2025,1/1/2026,6/30/2026,Need Follow Up,,,,,,
OCSA,TATELY N.V,TATELY,OCSA TATELY ,AMD KB,EXISTING,171/PG0000/2025-S0,TRANSP. MINYAK,,12/23/2025,1/1/2026,6/30/2026,Need Follow Up,,,,,,
OCSA,MONTD'OR OIL TUNGKAL LIMITED,MOTL,OCSA MOTL ,AMD KB,EXISTING,168/PG0000/2025-S0,TRANSP. MINYAK,,12/23/2025,1/1/2026,6/30/2026,Need Follow Up,,,,,,
OCSA,PT SELERAYA MERANGIN DUA,SRMD,OCSA SRMD ,AMD-I OTA,EXISTING,019/PG0000/2023-S0,TRANSP. MINYAK,,2/17/2023,1/1/2023,10/13/2033,DONE,,,,,,
OCSA,"JINDI SOUTH JAMBI B CO., LIMITED",JINDI,OCSA JINDI ,OTA,EXISTING,071/PG0000/2021-S0,TRANSP. MINYAK,,6/24/2021,5/29/2021,5/31/2030,DONE,,,,,,
OCSA,PT PERTAMINA HULU ENERGI JAMBI MERANG,PHE JM,OCSA PHE JM ,OTA,BARU,172/PG0000/2025-S0,TRANSP. MINYAK,,12/23/2025,12/23/2025,12/31/2030,DONE,,,,,,
ODA,PT PERTAGAS NIAGA,PTGN,ODA PTGN ,PPG,EXISTING,078/PG0000/2021-S0,TRANSP. GAS,,7/6/2021,7/1/2021,4/30/2031,DONE,,,,,,\
ODA,PT PERTAMINA KILANG INTERNASIONAL,RU II DUMAI,ODA RU II DUMAI ,AMD,EXISTING,042/PG0000/2024-S0,TRANSP. GAS,,3/8/2024,1/1/2023,12/31/2028,DONE,,,,,,
ODA,PT PGN (DURDUM),PGN DURDUM,ODA PGN DURDUM ,PPG,EXISTING,144/PG0000/2019-S0,TRANSP. GAS,,10/24/2019,11/1/2019,12/31/2037,DONE,,,,,,
ODA,PT PGN (JARGAS),PGN JARGAS,ODA PGN JARGAS ,PPG,EXISTING,072/PG0000/2021-S0,TRANSP. GAS,,6/26/2021,11/19/2019,7/23/2029,DONE,,,,,,
OEJA,PT PERTAGAS NIAGA,PTGN,OEJA PTGN ,AMD-VIII,EXISTING,206/PG0000/2022-S0,TRANSP. GAS,,12/9/2022,10/28/2022,12/31/2026,Need Follow Up,,,,,,
OEJA,PT PGN,PGN,OEJA PGN ,AMD-V,EXISTING,112/PG0000/2023-S0,TRANSP. GAS,,8/31/2023,12/6/2023,12/31/2035,DONE,,,,,,
OEJA,PT PGN (JARGAS),PGN JARGAS,OEJA PGN JARGAS ,AMD-III,EXISTING,036/PG0000/2023-S0,TRANSP. GAS,,5/29/2023,9/9/2022,12/31/2031,DONE,,,,,,
OEJA,PT PLN (PERSERO),PLN,OEJA PLN ,AMD-VI,EXISTING,151/PG0000/2025-S0,TRANSP. GAS,,11/20/2025,11/20/2025,12/31/2033,DONE,,,,,,
OEJA,PT PERTAMINA (PERSERO) - SPBG,PTM SPBG,OEJA PTM SPBG ,AMD-III,EXISTING,217/PG0000/2022-S0,TRANSP. GAS,,12/27/2022,8/1/2022,12/31/2024,Need Follow Up,,,,,,
OEJA,PT PETROKIMIA GRESIK,PKG,OEJA PKG ,AMD-V,EXISTING,142/PG0000/2023-S0,TRANSP. GAS,,10/3/2023,6/1/2023,12/31/2030,DONE,,,,,,
OEJA,PT INTI ALASINDO ENERGY,IAE,OEJA IAE ,AMD-IV,EXISTING,007/PG0000/2022-S0,TRANSP. GAS,,1/18/2022,1/18/2022,12/31/2036,DONE,,,,,,
OEJA,PT BBG (PORONG - WARU),BBG,OEJA BBG ,AMD-III,EXISTING,198/PG0000/2022-S0,TRANSP. GAS,,11/29/2022,1/1/2023,12/31/2030,DONE,,,,,,
OEJA,PT SARANA CEPU ENERGI,SCE,OEJA SCE ,AMD-IV,EXISTING,109/PG0000/2025-S0,TRANSP. GAS,,7/7/2025,7/15/2025,10/19/2032,DONE,,,,,,
OEJA,PT INDOGAS KRIYA DWIGUNA,IKD,OEJA IKD ,AMD,EXISTING,061/OG0000/2023-S0,TRANSP. GAS,,5/30/2023,4/2/2023,12/31/2030,DONE,,,,,,
OEJA,PT SADIKUN NIAGAMAS RAYA,SNR,OEJA SNR ,PPG,EXISTING,150/PG0000/2023-S0,TRANSP. GAS,,10/9/2023,7/1/2023,12/31/2028,DONE,,,,,,
OEJA,PT BERKAH BUANA ENERGI,BBE,OEJA BBE ,PPG,EXISTING,008/PG0000/2025-S0,TRANSP. GAS,,1/20/2025,2/10/2025,12/11/2033,DONE,,,,,,
OEJA,PT LIKUID NUSANTARA GAS,LIKUID NG,OEJA LIKUID NG ,PPG,BARU,042/PG0000/2025-S0,TRANSP. GAS,,3/21/2025,6/1/2025,12/31/2032,DONE,,,,,,
OEJA,PT LESTARI NASIONAL GAS,LESTARI NG,OEJA LESTARI NG ,PPG,BARU,116/PG0000/2025-S0,TRANSP. GAS,,7/7/2025,10/1/2025,10/19/2032,DONE,,,,,,
OEJA,PT MAHADAYA PRIMA ENERGY,MDPE,OEJA MDPE ,KEYTERMS,BARU,,TRANSP. GAS,,,,,Need Follow Up,,,,,,
OKA,PT KALTIM METHANOL INDONESIA,KMI,OKA KMI ,PPG,EXISTING,130/PG0000/2023-S0,TRANSP. GAS,,9/27/2023,9/27/2023,9/30/2028,DONE,,,,,,
OKA,PT KALTIM PARNA INDUSTRI,KPI,OKA KPI ,AMD,EXISTING,282/PG0000/2020-S0,TRANSP. GAS,,12/11/2020,12/1/2020,12/31/2026,Need Action,,,,,,
OKA,PT PUPUK KALIMANTAN TIMUR,PKT,OKA PKT ,AMD,EXISTING,077/PG0000/2021-S0,TRANSP. GAS,,7/5/2021,1/1/2020,12/31/2028,DONE,,,,,,
OKA,PT PLN,PLN BONTANG,OKA PLN BONTANG ,AMD-II,EXISTING,150/PG0000/2025-S0,TRANSP. GAS,,11/19/2025,11/19/2025,12/31/2028,DONE,,,,,,
OKA,PT KALTIM DAYA MANDIRI,KDM,OKA KDM ,AMD-IV,EXISTING,079/PG0000/2021-S0,TRANSP. GAS,,6/30/2021,1/1/2022,12/31/2031,DONE,,,,,,
